"Frage,""Antwort"""
"Wie heisst das Team dass das Spiel erstellt hat?,""Star"""
"Wie heisst Herr Storch mit Vornamen?,""Raphael"""
"Wie heisst Gufran mit Nachnamen?,""Oezmert"""
"Wie lautet der Doppelname von Herrn Voth?,""Viktor"""
"Was brauchte ein Eintrag pro Vorlesung?,""Tagebuch"""
"Multiple-Choice ?,""Test"""
"VIM: Command Mode Visual Mode und ? Mode,""Insert"""
"VCS = Version Control ?,""System"""
"Initiert wurde git von Linus ?,""Torvalds"""
"Neues Repository in Git anlegen: git ?,""init"""
"Bestehndes Repository in git klonen: git ?,""clone"""
"Holt alle Aenderungen vom Origin: git ?,""fetch"""
"Sendet Aenderungen an entfertes Repository: git ?,""push"""
"Datei in git umbennen:git ?,""mv"""
"Uebersicht aller Daten die noch nicht in git Gestaged wurden: git ?,""status"""
"Mit welcher Frucht kann man einzelne Commits einfuegen(englisch),""cherry"""
"Letzter Commit in Git wird Rueckgaengig gemacht:git ?,""revert"""
"Die drei Stufen von Git Reset: Mixed soft und  ?,""hard"""
"Was funtioniert bei den meisten Wissensarbeitern nicht,""Hierarchien"""
