"Frage","Antwort"
"Der Inhalt eines Computer-Programms","Code"
"Eine valide Moeglichkeit Code Qualitaet zu bestimmen","Wtfs/Minute"
"Eine spezielle Funktion einer Software","Feature"
"Wie bezeichnet man einen Code der gut geschrieben ist?","Clean"
"Wichtig in der Programmierung dass jeder Mensch bekommen hat","Namen"
"Ein Unterprogramm in der objektorientierten Programmierung","Methode"
"Haeufiger Fehler, der durch Copy+Paste ausgeloest werden kann","DRY"
"Eine Erklaerung im Code eines Programmes","Kommentar"
"Ein besonderer Kommentar neben TODO","FIXME"
"Ein Platzhalter fuer eine Groesse die einem Rechenprozess Auftritt","Variable"
"Eine neue Version einer Software","Update"
"Wie nennt man den Test, wo Einzelteile eines Programmes getestet werden?","Unit"
"Welche Endung braucht eine Textdatei","Txt"
"Das Satzzeichen womit Dateien in git ignoriert werden","Punkt"
"Wenn man sich bei einer Website anmelden moechte","Log in"
"Die Hochschul Fulda version von GitHub","GitLab"
"In Git werden neue Features in einem neuen ? entwickelt","Branch"
"Ein Prinzip was zu einem Problem eine moeglichst einfache Loesung anstrebt","KISS"
"Das bekannteste Rahmenwerk der Agilen Softwareentwicklung","Scrum"
